GWAS	Bin	Num_genes	Prop_genes	Ave_h2cis	h2med	se_h2med	h2med_over_h2med_tot	se_h2med_over_h2med_tot	h2med_enrichment	se_h2med_enrichment	h2med_enrichment_pvalue	Coefficient	se_Coefficient
CD	ELS	29425	0.296264599	0.195753494	0.057553101	0.018564824	0.839738758	0.325907601	2.834421527	1.100055834	0.017978801	0.000124808	8.21E-05
CD	H3K27ac	42843	0.43136327	0.191801649	0.084809491	0.023259906	1.169583726	0.381441633	2.711366049	0.884270079	0.002948157	0.00016851	7.74E-05
CD	H3K4me1	61762	0.62184857	0.186041617	0.092607259	0.026178895	1.403485215	0.406434619	2.256956567	0.653590983	0.001567096	0.000144733	6.38E-05
CD	H3K4me3	15157	0.152607733	0.18249133	0.04602252	0.014960898	0.595311794	0.233854622	3.900928109	1.532390386	0.012866159	0.000241266	0.000132876
CD	OnlyATAC	35150	0.353906565	0.126242978	-0.027103068	0.017290293	-0.3921372	0.38196428	-1.108024658	1.079280009	0.000874754	-8.20E-05	0.000133399
CD	PLS	13418	0.135098671	0.182959917	0.030787184	0.011242386	0.412788142	0.184463147	3.05545672	1.36539572	0.049574076	9.66E-05	0.000116487
IBD	ELS	29425	0.296264599	0.195753494	0.04379072	0.012591155	0.802604551	0.260104201	2.70908017	0.877945599	0.015225838	0.000111208	6.22E-05
IBD	H3K27ac	42843	0.43136327	0.191801649	0.070412269	0.014723194	1.233944563	0.315498375	2.860569382	0.731398328	0.00019962	0.000130989	5.08E-05
IBD	H3K4me1	61762	0.62184857	0.186041617	0.073250559	0.015597257	1.42843867	0.314783724	2.297084432	0.506206397	7.47E-05	9.01E-05	3.71E-05
IBD	H3K4me3	15157	0.152607733	0.18249133	0.040512549	0.010926461	0.682819884	0.213432268	4.474346564	1.398567847	0.002339744	0.000148798	8.76E-05
IBD	OnlyATAC	35150	0.353906565	0.126242978	-0.019427096	0.011024204	-0.367828782	0.293052209	-1.039338681	0.828049657	0.000103539	-0.000107345	8.08E-05
IBD	PLS	13418	0.135098671	0.182959917	0.032128034	0.008697127	0.563239028	0.192406181	4.169093774	1.424190032	0.003637802	0.000104195	5.09E-05
MS	ELS	29425	0.296264599	0.195753494	0.034202889	0.006756516	0.81632625	0.185285334	2.755395858	0.625404907	0.000565602	4.35E-05	2.36E-05
MS	H3K27ac	42843	0.43136327	0.191801649	0.045728554	0.007202373	1.043975227	0.147360965	2.420176447	0.341616857	9.96E-07	8.15E-05	2.38E-05
MS	H3K4me1	61762	0.62184857	0.186041617	0.044696317	0.007133002	1.05800948	0.107184577	1.701394087	0.172364434	1.61E-06	5.89E-05	1.74E-05
MS	H3K4me3	15157	0.152607733	0.18249133	0.015550737	0.00507916	0.342360501	0.088354691	2.243402054	0.578966017	0.050165134	0.000133069	5.17E-05
MS	OnlyATAC	35150	0.353906565	0.126242978	-0.003014957	0.00454454	-0.07000989	0.114747967	-0.197820264	0.324232379	1.51E-05	-0.000100714	3.82E-05
MS	PLS	13418	0.135098671	0.182959917	0.012291592	0.004658879	0.276475533	0.09039348	2.046471157	0.669092296	0.134632005	6.12E-05	7.23E-05
PBC	ELS	29425	0.296264599	0.195753494	0.172429914	0.034774924	0.786554549	0.178044111	2.654905619	0.600963166	0.000601097	0.000498688	0.000191849
PBC	H3K27ac	42843	0.43136327	0.191801649	0.217783843	0.040752142	0.941426317	0.165466433	2.182444315	0.383589529	0.000271671	0.000432506	0.00015063
PBC	H3K4me1	61762	0.62184857	0.186041617	0.219410204	0.045724132	1.021718013	0.126597558	1.643033468	0.203582614	0.001707077	0.000152907	0.000107912
PBC	H3K4me3	15157	0.152607733	0.18249133	0.067721932	0.026635759	0.298906277	0.109313812	1.958657478	0.716305855	0.179745501	0.000223384	0.000211394
PBC	OnlyATAC	35150	0.353906565	0.126242978	0.00421472	0.027777646	0.019218185	0.127839462	0.054302992	0.361223766	0.008237302	-0.000423523	0.000234804
PBC	PLS	13418	0.135098671	0.182959917	0.058552866	0.024660575	0.262464792	0.10405754	1.942763684	0.770233633	0.218745786	0.000141763	0.000226675
RA	ELS	29425	0.296264599	0.195753494	0.037185323	0.006519864	0.939002515	0.239416836	3.169472551	0.808118273	5.79E-05	7.95E-05	2.80E-05
RA	H3K27ac	42843	0.43136327	0.191801649	0.042487163	0.007395299	1.043813433	0.195694299	2.419801372	0.453664725	1.86E-05	5.59E-05	2.56E-05
RA	H3K4me1	61762	0.62184857	0.186041617	0.046681361	0.008669097	1.243580063	0.188660498	1.999811726	0.303386559	3.34E-06	2.72E-05	2.27E-05
RA	H3K4me3	15157	0.152607733	0.18249133	0.011956603	0.005820107	0.294084684	0.121654315	1.927062799	0.797170059	0.267357789	3.28E-05	4.87E-05
RA	OnlyATAC	35150	0.353906565	0.126242978	-0.011732068	0.00532594	-0.295803082	0.182677331	-0.835822534	0.516173898	1.35E-07	-4.95E-05	3.61E-05
RA	PLS	13418	0.135098671	0.182959917	0.007864689	0.004695458	0.194402799	0.099215547	1.438968993	0.734393212	0.562909213	3.38E-06	2.75E-05
SLE	ELS	29425	0.296264599	0.195753494	0.126628696	0.034391055	0.714958387	0.319096349	2.41324272	1.077065399	0.025059158	0.000369046	0.000146629
SLE	H3K27ac	42843	0.43136327	0.191801649	0.144390748	0.042877251	0.790408492	0.22236662	1.832350008	0.515497344	0.027371106	0.000307388	0.000136042
SLE	H3K4me1	61762	0.62184857	0.186041617	0.1923131	0.056430056	1.059830553	0.178534386	1.704322569	0.287102672	0.002708684	0.000279079	0.00011724
SLE	H3K4me3	15157	0.152607733	0.18249133	0.044543024	0.032094653	0.242545983	0.13719151	1.589342681	0.898981381	0.536538414	8.28E-05	0.000245453
SLE	OnlyATAC	35150	0.353906565	0.126242978	-0.004093284	0.027784375	-0.022753686	0.171953677	-0.06429292	0.485873094	0.007101588	-1.97E-05	0.00023461
SLE	PLS	13418	0.135098671	0.182959917	0.043404498	0.031573652	0.236040165	0.142792454	1.747168667	1.056949362	0.500424717	0.000153576	0.000168211
UC	ELS	29425	0.296264599	0.195753494	0.048370597	0.013553129	0.908738588	0.316527704	3.067320869	1.068395294	0.010422418	0.000146759	7.72E-05
UC	H3K27ac	42843	0.43136327	0.191801649	0.070880971	0.014551238	1.244674171	0.368792606	2.885443097	0.854946705	0.000560604	0.000173962	5.89E-05
UC	H3K4me1	61762	0.62184857	0.186041617	0.07292273	0.015354814	1.369954466	0.327928663	2.203035485	0.527344885	0.000249203	0.000109038	4.79E-05
UC	H3K4me3	15157	0.152607733	0.18249133	0.032513006	0.009944358	0.564352649	0.222520015	3.69806064	1.458117565	0.01593506	0.000152861	9.55E-05
UC	OnlyATAC	35150	0.353906565	0.126242978	-0.017103585	0.012666044	-0.322934269	0.31806621	-0.91248454	0.898729331	0.000935637	-0.000127975	0.000108917
UC	PLS	13418	0.135098671	0.182959917	0.028305804	0.008207845	0.503662189	0.200515388	3.728106168	1.484214362	0.011793898	0.00012011	5.61E-05
