GWAS	Bin	Num_genes	Prop_genes	Ave_h2cis	h2med	se_h2med	h2med_over_h2med_tot	se_h2med_over_h2med_tot	h2med_enrichment	se_h2med_enrichment	h2med_enrichment_pvalue	Coefficient	se_Coefficient
CD	1	19864	0.2	0.20760724	0.065282607	0.019462342	0.865175627	0.33282972	4.325878135	1.6641486	0.004696886	0.000198751	6.62E-05
CD	2	19864	0.2	0.193530583	0.017190613	0.015507688	0.245212983	0.214767438	1.226064914	1.073837189	0.830129944	-1.36E-05	6.27E-05
CD	3	19864	0.2	0.163739422	0.021242767	0.016873869	0.297880161	0.206610504	1.489400807	1.03305252	0.634342589	-4.29E-06	7.13E-05
CD	4	19864	0.2	0.138549896	0.005344526	0.013575827	0.076143455	0.18632015	0.380717276	0.931600749	0.481535275	-0.000126032	7.22E-05
CD	5	19864	0.2	0.122572223	-0.043037956	0.012907077	-0.653563703	0.416808534	-3.267818517	2.084042671	1.35E-05	-7.42E-05	9.55E-05
IBD	1	19864	0.2	0.20760724	0.052011247	0.01243322	0.910457004	0.308785918	4.552285022	1.54392959	0.000829372	0.000129601	4.38E-05
IBD	2	19864	0.2	0.193530583	0.014610213	0.011430947	0.271418893	0.194145079	1.357094465	0.970725395	0.713352119	-2.97E-05	4.02E-05
IBD	3	19864	0.2	0.163739422	0.003528722	0.009734772	0.066448932	0.178495432	0.332244661	0.892477161	0.432798982	-2.81E-05	4.31E-05
IBD	4	19864	0.2	0.138549896	0.001005117	0.009868909	0.01877151	0.184203321	0.093857551	0.921016605	0.261227709	-7.29E-05	5.02E-05
IBD	5	19864	0.2	0.122572223	-0.019248705	0.008915212	-0.37222473	0.227961463	-1.861123649	1.139807313	0.00137902	-6.84E-05	6.09E-05
MS	1	19864	0.2	0.20760724	0.030286267	0.005900202	0.711369724	0.15801665	3.556848621	0.790083248	0.000102531	7.53E-05	2.08E-05
MS	2	19864	0.2	0.193530583	0.012877936	0.005486975	0.290330263	0.121060781	1.451651314	0.605303907	0.445009914	6.31E-06	1.88E-05
MS	3	19864	0.2	0.163739422	0.003416746	0.005492215	0.079957803	0.125083595	0.399789016	0.625417975	0.324860168	-1.95E-05	2.52E-05
MS	4	19864	0.2	0.138549896	-0.002955439	0.004606231	-0.069376989	0.116840831	-0.346884943	0.584204155	0.006089134	-6.15E-05	2.78E-05
MS	5	19864	0.2	0.122572223	-3.60E-05	0.003680269	-0.000838391	0.087028012	-0.004191956	0.435140059	0.012829969	1.14E-05	3.10E-05
PBC	1	19864	0.2	0.20760724	0.139658668	0.034925131	0.627103375	0.14675803	3.135516875	0.733790149	0.00272404	0.000374726	0.000139738
PBC	2	19864	0.2	0.193530583	0.042228836	0.024853975	0.192106797	0.111540791	0.960533987	0.557703954	0.943155633	-0.00014409	9.78E-05
PBC	3	19864	0.2	0.163739422	0.04331677	0.031349259	0.198998897	0.14006374	0.994994486	0.700318699	0.994187791	9.30E-05	0.000122769
PBC	4	19864	0.2	0.138549896	0.013056071	0.023939257	0.061162843	0.117033871	0.305814215	0.585169357	0.247753394	-0.000218799	0.000150907
PBC	5	19864	0.2	0.122572223	-0.007800421	0.028362082	-0.036201945	0.145271907	-0.181009726	0.726359533	0.038505697	-8.31E-05	0.000199847
RA	1	19864	0.2	0.20760724	0.022314991	0.005721329	0.534342965	0.139660153	2.671714824	0.698300763	0.006494021	5.60E-05	2.23E-05
RA	2	19864	0.2	0.193530583	0.017929012	0.005148935	0.452213147	0.130872021	2.261065733	0.654360103	0.03217483	2.29E-05	1.92E-05
RA	3	19864	0.2	0.163739422	0.003984761	0.005816716	0.100549697	0.137641698	0.502748485	0.688208488	0.452229282	-9.85E-06	2.35E-05
RA	4	19864	0.2	0.138549896	0.00315143	0.004949334	0.080282996	0.125358315	0.401414978	0.626791577	0.34777558	6.92E-06	2.96E-05
RA	5	19864	0.2	0.122572223	-0.007740877	0.005100817	-0.196835277	0.161338405	-0.984176386	0.806692026	0.000722138	-6.67E-05	3.01E-05
SLE	1	19864	0.2	0.20760724	0.110175106	0.033439072	0.618290763	0.214723401	3.091453816	1.073617003	0.009537456	0.000175956	0.000114555
SLE	2	19864	0.2	0.193530583	0.018279367	0.032209679	0.100605048	0.164897276	0.503025241	0.824486381	0.532028831	-0.000163441	0.000119043
SLE	3	19864	0.2	0.163739422	0.034792627	0.027672917	0.196299444	0.135232485	0.981497221	0.676162425	0.97798579	0.000107445	0.000124984
SLE	4	19864	0.2	0.138549896	0.015874339	0.028530063	0.08814503	0.16928184	0.440725149	0.846409199	0.524923836	-0.000212248	0.000161971
SLE	5	19864	0.2	0.122572223	0.009251235	0.036082846	0.052437894	0.225539819	0.26218947	1.127699095	0.387539361	0.000103601	0.000213291
UC	1	19864	0.2	0.20760724	0.050125784	0.013234029	0.886513156	0.328737312	4.432565781	1.643686561	0.002778608	0.000122614	4.93E-05
UC	2	19864	0.2	0.193530583	0.019737619	0.012062403	0.36946491	0.207540645	1.847324549	1.037703226	0.41421947	-2.79E-05	4.62E-05
UC	3	19864	0.2	0.163739422	-0.007808033	0.00912886	-0.152901269	0.202049096	-0.764506346	1.01024548	0.041012291	-5.89E-05	4.31E-05
UC	4	19864	0.2	0.138549896	-0.004839841	0.010853475	-0.093463575	0.229133592	-0.467317877	1.145667962	0.129476729	-7.64E-05	6.11E-05
UC	5	19864	0.2	0.122572223	-0.00393624	0.008979001	-0.075990162	0.186098509	-0.379950812	0.930492544	0.091703245	-2.99E-05	6.72E-05
