QTL	GWAS	Type	h2med	se_h2med	h2med_prop	se_h2med_prop
ATAC	ALL	ALL	0.00708503	0.003754602	0.0848543	0.04394767
ATAC	AST	ALL	0.005950507	0.003182347	0.092888422	0.050308185
ATAC	ATD	AID	0.005874619	0.002480895	0.183540778	0.078366499
ATAC	CD	AID	0.083895642	0.03029125	0.202501195	0.069063948
ATAC	CEL	AID	0.090488756	0.038706101	0.286486345	0.134083773
ATAC	IBD	AID	0.060321996	0.017549853	0.188417312	0.052683958
ATAC	JIA	AID	0.093615267	0.047372668	0.263335478	0.134581583
ATAC	MS	AID	0.046094179	0.008756345	0.340797363	0.061623597
ATAC	PBC	AID	0.235495673	0.048743582	0.426872487	0.086442939
ATAC	RA	AID	0.040777154	0.010021912	0.279783877	0.069838324
ATAC	SLE	AID	0.183143036	0.066747194	0.245599745	0.083392705
ATAC	UC	AID	0.054672098	0.01779612	0.193600496	0.060920572
ATAC	VIT	AID	0.038496458	0.018034141	0.162697124	0.072555871
ATAC	CAD	Others	-0.010917254	0.007718921	-0.156446782	0.120413178
ATAC	SCZ	Others	0.034050544	0.013462391	0.073516046	0.028614995
ATAC	T2D	Others	-0.006977053	0.008707448	-0.074525994	0.095580027
