GWAS	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score	Type
ALL	0.064832584	0.279850923	0.047305308	4.316516584	0.729653293	1.26E-05	1.83E-08	1.19E-08	1.53692391	ALL
AST	0.064832584	0.246322202	0.060178378	3.799358098	0.928211937	0.001503546	-2.09E-09	1.18E-08	-0.176902558	ALL
ATD	0.064832584	0.41836279	0.091759382	6.452971115	1.415328165	8.71E-05	1.42E-08	6.51E-09	2.178204186	AID
CD	0.064832584	0.396484069	0.069845409	6.115506227	1.077319538	1.14E-05	1.73E-07	7.59E-08	2.276297374	AID
CEL	0.064832584	0.606504685	0.168618793	9.354936215	2.600834075	5.80E-05	2.60E-07	1.23E-07	2.10568907	AID
IBD	0.064832584	0.387763987	0.061057335	5.981004689	0.941769267	6.17E-07	1.28E-07	5.14E-08	2.488946354	AID
JIA	0.064832584	0.828651082	0.291413002	12.78139841	4.494854055	0.001857656	1.81E-07	1.28E-07	1.410138363	AID
MS	0.064832584	0.648745252	0.090896787	10.00646921	1.402023203	5.11E-10	1.32E-07	2.27E-08	5.812814333	AID
CAD	0.064832584	0.135577903	0.098587668	2.091200068	1.520649996	0.472637276	-9.04E-09	2.09E-08	-0.432616813	Others
SCZ	0.064832584	0.096494956	0.025985477	1.488371286	0.400808912	0.21890238	6.01E-08	3.54E-08	1.700944344	Others
T2D	0.064832584	-0.014329264	0.094835437	-0.22101948	1.462774296	0.404560624	-4.97E-08	2.35E-08	-2.118578264	Others
PBC	0.064832584	0.689719909	0.118621876	10.63847637	1.82966449	5.73E-07	5.88E-07	1.25E-07	4.706266004	AID
RA	0.064832584	0.5563889	0.101362676	8.581933163	1.563452669	7.34E-06	8.74E-08	2.60E-08	3.3577034	AID
SLE	0.064832584	0.623288384	0.131248479	9.613813741	2.024421549	2.94E-05	7.05E-07	2.22E-07	3.178253871	AID
UC	0.064832584	0.359366479	0.071855118	5.542991788	1.108317982	2.81E-05	8.08E-08	4.92E-08	1.643178224	AID
VIT	0.064832584	0.404790456	0.090072212	6.243626787	1.389304685	7.12E-05	1.08E-07	5.57E-08	1.948350407	AID
