QTL	GWAS	Type	h2med	se_h2med	h2med_prop	se_h2med_prop
ATAC_RNA	CD	AID	0.095620119	0.031920679	0.231201255	0.073445669
ATAC_RNA	IBD	AID	0.067388502	0.017954679	0.2108328	0.053946231
ATAC_RNA	MS	AID	0.05901739	0.010297056	0.430680581	0.073620737
ATAC_RNA	PBC	AID	0.258938718	0.050105048	0.472272564	0.094634757
ATAC_RNA	RA	AID	0.044420802	0.010744443	0.303240464	0.075011753
ATAC_RNA	SLE	AID	0.223646279	0.070756969	0.297777271	0.087579938
ATAC_RNA	UC	AID	0.064337529	0.018190758	0.227320145	0.061392514
ATAC_RNA	CAD	others	-0.009110625	0.007994799	-0.128540683	0.119236347
ATAC_RNA	SCZ	others	0.036310246	0.012913026	0.07863227	0.027735573
ATAC_RNA	T2D	others	-0.003560498	0.008815903	-0.037667154	0.094351679
ATAC	CD	AID	0.083895642	0.03029125	0.202501195	0.069063948
ATAC	IBD	AID	0.060321996	0.017549853	0.188417312	0.052683958
ATAC	MS	AID	0.046094179	0.008756345	0.340797363	0.061623597
ATAC	PBC	AID	0.235495673	0.048743582	0.426872487	0.086442939
ATAC	RA	AID	0.040777154	0.010021912	0.279783877	0.069838324
ATAC	SLE	AID	0.183143036	0.066747194	0.245599745	0.083392705
ATAC	UC	AID	0.054672098	0.01779612	0.193600496	0.060920572
ATAC	CAD	others	-0.010917254	0.007718921	-0.156446782	0.120413178
ATAC	SCZ	others	0.034050544	0.013462391	0.073516046	0.028614995
ATAC	T2D	others	-0.006977053	0.008707448	-0.074525994	0.095580027
RNA	CD	AID	0.055956172	0.01454541	0.140662451	0.037953257
RNA	IBD	AID	0.030833164	0.009567247	0.099779856	0.030624733
RNA	MS	AID	0.02845562	0.00487578	0.224399101	0.041993538
RNA	PBC	AID	0.101528643	0.025547859	0.202707867	0.06011901
RNA	RA	AID	0.018518143	0.004338774	0.131652432	0.033193494
RNA	SLE	AID	0.083916788	0.025698184	0.118435344	0.03960948
RNA	UC	AID	0.031368048	0.012668455	0.114927013	0.046179302
RNA	CAD	others	0.00104908	0.003159617	0.014500384	0.043772371
RNA	SCZ	others	0.012024479	0.005673262	0.026518586	0.01269223
RNA	T2D	others	0.00511163	0.004127461	0.054149124	0.043232192
