GWAS	Bin	Num_genes	Prop_genes	Ave_h2cis	h2med	se_h2med	h2med_over_h2med_tot	se_h2med_over_h2med_tot	h2med_enrichment	se_h2med_enrichment	h2med_enrichment_pvalue	Coefficient	se_Coefficient
CD	10kb	14403	0.14501611	0.171012715	0.044909149	0.021246266	0.587544782	0.269224921	4.051582849	1.856517337	0.080707771	0.000263206	0.000158634
CD	25kb	24542	0.247100282	0.173304379	0.056285446	0.020565079	0.727806099	0.250592914	2.945387572	1.014134474	0.029821653	0.000210188	0.000113144
CD	50kb	36488	0.367378172	0.174520962	0.065244432	0.02143703	0.851506166	0.270360121	2.317791944	0.735917761	0.025150607	0.000199943	9.32E-05
CD	100kb	51162	0.515122835	0.17446585	0.068631391	0.022042377	0.911002558	0.261229438	1.768515189	0.507120671	0.048203368	9.30E-05	8.51E-05
CD	250kb	70523	0.710058397	0.173384839	0.072576331	0.025609587	0.999848335	0.167761232	1.408121275	0.236263992	0.045313126	9.72E-05	7.71E-05
CD	500kb	82236	0.827990334	0.17142381	0.07536008	0.026632937	1.065344249	0.117922081	1.286662664	0.142419635	0.007958109	0.00012319	7.98E-05
CD	1000kb	91074	0.916975433	0.168335615	0.071925066	0.027845754	1.017584669	0.063149881	1.109718573	0.068867582	0.056917305	2.48E-05	7.56E-05
IBD	10kb	14403	0.14501611	0.171012715	0.033056772	0.00988757	0.565701359	0.195816103	3.900955282	1.350305865	0.009147359	0.00022436	0.000106351
IBD	25kb	24542	0.247100282	0.173304379	0.047206724	0.011462533	0.791492434	0.201614454	3.203122344	0.815921586	0.001011135	0.000131192	7.17E-05
IBD	50kb	36488	0.367378172	0.174520962	0.056655264	0.013311438	0.951621668	0.225529104	2.590305418	0.613888145	0.00121632	0.000101589	6.38E-05
IBD	100kb	51162	0.515122835	0.17446585	0.056921856	0.014600065	0.983774421	0.214079806	1.909786081	0.41558982	0.009306555	5.70E-05	5.79E-05
IBD	250kb	70523	0.710058397	0.173384839	0.059305716	0.015861907	1.062345688	0.149441867	1.496138476	0.210464193	0.009430662	5.47E-05	5.03E-05
IBD	500kb	82236	0.827990334	0.17142381	0.057586481	0.015769843	1.065092506	0.104093697	1.286358623	0.125718494	0.007748474	3.72E-05	5.04E-05
IBD	1000kb	91074	0.916975433	0.168335615	0.055441219	0.016629331	1.032557006	0.052543265	1.126046531	0.057300625	0.01951517	-4.90E-06	4.01E-05
MS	10kb	14403	0.14501611	0.171012715	0.02766501	0.00657247	0.582981538	0.112498388	4.020115697	0.775764767	0.000473957	0.000203619	7.58E-05
MS	25kb	24542	0.247100282	0.173304379	0.031556311	0.006359083	0.669783858	0.106093651	2.710575047	0.429354636	0.000142257	0.000109705	4.85E-05
MS	50kb	36488	0.367378172	0.174520962	0.039246838	0.007072084	0.827747788	0.113750702	2.253121858	0.309628364	4.44E-05	9.31E-05	3.87E-05
MS	100kb	51162	0.515122835	0.17446585	0.039348736	0.007178984	0.853705009	0.095369899	1.657284343	0.18514011	0.000374444	8.00E-05	2.89E-05
MS	250kb	70523	0.710058397	0.173384839	0.0415489	0.00827473	0.926208248	0.066485869	1.304411373	0.093634367	0.003958904	6.30E-05	2.66E-05
MS	500kb	82236	0.827990334	0.17142381	0.043389273	0.008534408	0.980258451	0.047937391	1.183900838	0.057896076	0.004679548	5.58E-05	2.65E-05
MS	1000kb	91074	0.916975433	0.168335615	0.043750465	0.00856024	0.987348975	0.034458186	1.076745287	0.037578091	0.049611825	7.97E-05	3.59E-05
PBC	10kb	14403	0.14501611	0.171012715	0.093474292	0.023790067	0.411959239	0.089875594	2.840782585	0.619762824	0.003597459	0.000768073	0.000375896
PBC	25kb	24542	0.247100282	0.173304379	0.123135401	0.030177616	0.538283089	0.101239674	2.17839933	0.409710882	0.005638122	0.000432842	0.000233387
PBC	50kb	36488	0.367378172	0.174520962	0.189620047	0.046443905	0.804963663	0.108776232	2.191103678	0.296087901	0.001699252	0.000367036	0.00017313
PBC	100kb	51162	0.515122835	0.17446585	0.22808508	0.05511309	0.973842489	0.113311871	1.890505375	0.219970585	0.001981738	0.000297512	0.000149702
PBC	250kb	70523	0.710058397	0.173384839	0.227462629	0.050991484	1.004595151	0.093584036	1.41480638	0.131797661	0.006145236	0.000206785	0.000131803
PBC	500kb	82236	0.827990334	0.17142381	0.221921469	0.046651829	1.003087253	0.053853653	1.211472177	0.065041403	0.003415402	0.000113362	0.000104877
PBC	1000kb	91074	0.916975433	0.168335615	0.215111435	0.045764086	0.980469878	0.040434269	1.069243343	0.044095259	0.125898192	7.66E-05	0.000119416
RA	10kb	14403	0.14501611	0.171012715	0.011795101	0.004739022	0.289574977	0.110847316	1.996846959	0.764379323	0.181529225	0.000116374	5.46E-05
RA	25kb	24542	0.247100282	0.173304379	0.018902471	0.005994041	0.458500769	0.126884933	1.855525075	0.513495702	0.087366322	4.93E-05	4.19E-05
RA	50kb	36488	0.367378172	0.174520962	0.029553633	0.007312902	0.698673215	0.133001006	1.901782057	0.362027515	0.009321965	4.70E-05	3.35E-05
RA	100kb	51162	0.515122835	0.17446585	0.034045174	0.0083085	0.806968048	0.119828025	1.566554602	0.232620293	0.014038189	4.72E-05	2.83E-05
RA	250kb	70523	0.710058397	0.173384839	0.036285726	0.009241804	0.882034225	0.072592409	1.242199555	0.10223442	0.030612235	3.81E-05	2.51E-05
RA	500kb	82236	0.827990334	0.17142381	0.039675746	0.009380252	0.976309394	0.060459601	1.17913139	0.073019694	0.010498717	2.09E-05	2.64E-05
RA	1000kb	91074	0.916975433	0.168335615	0.03860219	0.00980281	0.961957005	0.043928234	1.049054283	0.047905574	0.307495277	8.39E-06	2.72E-05
SLE	10kb	14403	0.14501611	0.171012715	0.061788703	0.030928798	0.336637001	0.126473062	2.321376584	0.87213112	0.167464682	0.000601089	0.000386682
SLE	25kb	24542	0.247100282	0.173304379	0.076096243	0.038357347	0.41870415	0.150896426	1.694470546	0.610668773	0.283771028	0.000375628	0.000252133
SLE	50kb	36488	0.367378172	0.174520962	0.12577557	0.056835738	0.6713543	0.170327914	1.827420223	0.463631012	0.135253476	0.000385617	0.000194163
SLE	100kb	51162	0.515122835	0.17446585	0.14463395	0.064522624	0.778524577	0.166012246	1.511337731	0.322277007	0.173734838	0.000293893	0.000155928
SLE	250kb	70523	0.710058397	0.173384839	0.166368616	0.064384896	0.907264174	0.116689633	1.277731773	0.16433808	0.143300871	0.000230282	0.000132023
SLE	500kb	82236	0.827990334	0.17142381	0.167672191	0.061947155	0.922713134	0.069611949	1.114400852	0.084073384	0.220501042	0.000245005	0.000142953
SLE	1000kb	91074	0.916975433	0.168335615	0.17099351	0.063238117	0.952668432	0.043250568	1.038924706	0.04716655	0.434356178	0.000219533	0.000187532
UC	10kb	14403	0.14501611	0.171012715	0.026650747	0.008683838	0.472535788	0.182073854	3.258505482	1.255542261	0.027194491	0.00022442	0.000131263
UC	25kb	24542	0.247100282	0.173304379	0.04119715	0.012392857	0.716314521	0.244432807	2.898881846	0.989204888	0.019365483	0.000159535	9.40E-05
