IMD	Gene	LCL_mean_TPM	monocyte_mean_TPM	status	LCL	mono_u	mono_s
IBD_deLange_2017	INTS11	38.5121	15.4395	both	64.6907	31.1176	12.5658
MS_Patsopoulos_2019	TBX6	1.3992	1.56318	both	0.878343	0.113983	4.07506
PBC_Cordell_2021	ORMDL3	83.6542	23.4846	both	54.0159	0.881073	3.31424
MS_Patsopoulos_2019	TNFSF14	24.8123	3.93028	both	24.2305	2.28146	9.75259
MS_Patsopoulos_2019	MPV17L2	23.5871	9.21531	both	10.8062	5.75511	5.81711
RA_Ishigaki_2021_EUR	TSSK6	3.0941	0.318377	both	1.97477	0.146997	0.596585
IBD_deLange_2017	ATG16L1	13.1796	16.9334	both	15.16	7.49375	2.63302
UC_deLange_2017	SLC26A6	10.6488	15.43	both	12.5866	6.57447	7.31424
IBD_deLange_2017	RNF123	8.04826	9.18321	both	16.5697	2.55183	2.63775
MS_Patsopoulos_2019	IQCB1	80.1662	24.7766	both	39.4151	27.6949	10.9006
MS_Patsopoulos_2019	GDPD3	2.3756	7.23717	both	0.783447	0.242163	0.390068
IBD_deLange_2017	DAP	156.973	104.261	both	115.342	42.3213	18.8991
CD_deLange_2017	ERAP2	56.6139	49.5717	both	82.1134	39.5029	7.05582
PBC_Cordell_2021	NDFIP1	5.82574	42.77	both	7.18992	89.4816	104.75
UC_deLange_2017	RGS14	61.3458	30.2955	both	47.6531	17.2074	5.36036
MS_Patsopoulos_2019	ZC2HC1A	10.3566	10.7882	both	3.59826	30.735	5.12425
CD_deLange_2017	CARD9	2.96327	18.2106	both	6.19551	23.1445	2.16764
CD_deLange_2017	IL27	1.02547	3.59378	both	0.242361	1.30299	0.601957
MS_Patsopoulos_2019	AHI1	4.32708	2.27049	both	6.27588	6.25654	57.5284
IBD_deLange_2017	LSP1	245.164	379.929	both	323.4	337.103	12.168
CD_deLange_2017	SCAMP3	107.354	18.0218	both	48.0289	68.2283	57.6013
CD_deLange_2017	RIT1	46.6327	381.165	both	36.7777	104.176	194.394
RA_Ishigaki_2021_EUR	TMEM258	106.96	64.812	both	28.078	177.752	402.869
CD_deLange_2017	CCDC88B	42.6971	43.0148	both	78.728	19.0657	13.3784
IBD_deLange_2017	FDPS	210.282	15.8059	both	181.16	100.387	64.8996
MS_Patsopoulos_2019	EEF1AKMT3	6.44772	6.16312	both	5.64487	10.6855	26.722
UC_deLange_2017	SULT1A1	0.127614	25.1738	both	4.0395	311.439	46.1545
CD_deLange_2017	TUFM	382.11	127.243	both	160.608	114.091	26.2345
IBD_deLange_2017	THBS3	2.53324	9.71228	both	2.74555	1.69384	49.4698
IBD_deLange_2017	HORMAD1	0.0900804	7.05358	both	0.0207439	0.671873	0.219941
IBD_deLange_2017	CLN3	0.520912	10.347	both	14.9078	18.2908	24.7208
MS_Patsopoulos_2019	CDK2AP1	34.1206	83.5316	both	36.1913	46.8634	0.322359
MS_Patsopoulos_2019	CFL1	540.928	389.589	justMonocyte	789.615	1062.32	325.523
RA_Ishigaki_2021_EUR	VPS37C	12.378	23.2484	justMonocyte	11.1413	0.627051	6.07581
RA_Ishigaki_2021_EUR	CD5	0.323324	1.66547	justMonocyte	0.195775	0.194977	0.55018
PBC_Cordell_2021	DDX6	66.8445	33.0978	justMonocyte	105.362	57.746	49.2183
RA_Ishigaki_2021_EUR	INPP5B	31.4718	18.3553	justMonocyte	63.7506	37.8104	26.8953
IBD_deLange_2017	TNNI2	0.671314	21.1918	justMonocyte	0.0999179	22.1105	0.167477
IBD_deLange_2017	ENSG00000250644	0.0369973	0	justMonocyte	1.47205	0.018513	0.0230052
IBD_deLange_2017	CTSD	21.0107	259.987	justMonocyte	41.8246	119.6	76.0095
SLE_Bentham_2015	LRRC56	1.7756	0.425221	justMonocyte	0.855953	0.266245	0.685133
RA_Ishigaki_2021_EUR	TSPAN3	26.8928	55.9925	justMonocyte	44.6447	40.9046	66.0021
MS_Patsopoulos_2019	GPR18	5.72198	8.5626	justMonocyte	2.67547	2.38654	1.708
PBC_Cordell_2021	FAM177A1	8.80429	6.54452	justMonocyte	12.7112	44.674	128.999
UC_deLange_2017	NUSAP1	39.5764	2.99186	justMonocyte	130.018	8.85254	12.7489
RA_Ishigaki_2021_EUR	PSTPIP1	10.5105	66.635	justMonocyte	7.74929	31.0637	21.039
SLE_Bentham_2015	LMNTD2	1.70268	1.07363	justMonocyte	1.44084	0	0.0665583
RA_Ishigaki_2021_EUR	PEAK1	6.36193	10.7606	justMonocyte	34.5786	20.1236	96.6827
RA_Ishigaki_2021_EUR	TXNDC11	88.1716	53.2354	justMonocyte	79.165	43.7565	13.2162
IBD_deLange_2017	PRKCB	118.622	218.899	justMonocyte	278.291	121.1	48.7477
UC_deLange_2017	SGF29	13.6005	12.0287	justMonocyte	6.18494	25.5534	21.4369
IBD_deLange_2017	SH2B1	16.3673	28.3591	justMonocyte	26.7538	2.05777	10.2439
RA_Ishigaki_2021_EUR	TAOK2	18.0054	10.8225	justMonocyte	36.5781	1.88239	3.62599
UC_deLange_2017	ZNF688	8.58445	9.23029	justMonocyte	6.20737	1.80723	20.4002
RA_Ishigaki_2021_EUR	SUOX	11.3914	8.37686	justMonocyte	13.1077	3.77139	13.2756
MS_Patsopoulos_2019	IFITM3	18.2239	352.761	justMonocyte	13.7357	470.913	128.179
IBD_deLange_2017	DENND1B	2.06756	5.54811	justMonocyte	5.48724	11.0353	4.45171
IBD_deLange_2017	PPIF	183.713	797.934	justMonocyte	99.5359	55.6214	253.6
MS_Patsopoulos_2019	BCL10	26.6702	99.8396	justMonocyte	26.5129	146.414	1637.54
RA_Ishigaki_2021_EUR	PRXL2B	21.992	4.0339	justMonocyte	19.7465	0.528211	5.15847
UC_deLange_2017	GOLPH3L	50.8981	32.3372	justMonocyte	36.8595	2.55317	2.71877
RA_Ishigaki_2021_EUR	MMEL1	0.0697051	0.224344	justMonocyte	1.78018	0.311038	0.64059
IBD_deLange_2017	ANXA9	4.07855	9.0888	justMonocyte	0.392968	0.305393	0.0748975
CD_deLange_2017	ILF2	443.836	146.828	justMonocyte	165.649	173.256	54.1631
RA_Ishigaki_2021_EUR	RNF40	34.5898	36.6398	justMonocyte	78.8826	14.3713	5.89671
UC_deLange_2017	GBA	12.6434	19.7258	justMonocyte	22.1361	20.5031	49.2615
IBD_deLange_2017	SYT11	38.9088	34.8936	justMonocyte	47.2004	7.44161	25.3026
CD_deLange_2017	RXFP4	0.137802	1.38254	justMonocyte	0.038471	0.178708	0.0626291
CD_deLange_2017	CD244	21.6574	139.478	justMonocyte	11.9123	25.6984	0.21154
RA_Ishigaki_2021_EUR	FCGR2A	0.709651	103.179	justMonocyte	8.80907	353.862	260.977
MS_Patsopoulos_2019	RGS1	334.448	116.076	justMonocyte	257.715	57.5213	6.07281
IBD_deLange_2017	KIF21B	16.6568	10.139	justMonocyte	47.5346	1.80632	23.5001
IBD_deLange_2017	IPMK	14.5791	50.1066	justMonocyte	22.5876	3.96009	7.85304
SLE_Bentham_2015	ITGAM	7.45067	268.861	justMonocyte	8.89893	69.0019	12.3565
UC_deLange_2017	OPRL1	0.989008	24.5059	justMonocyte	0.921269	0.97073	0.758095
PBC_Cordell_2021	SLC12A4	13.8874	11.4068	justMonocyte	23.3121	2.52732	16.9061
UC_deLange_2017	CCDC71	49.3914	7.55245	justMonocyte	20.9821	0.622411	1.01671
RA_Ishigaki_2021_EUR	NCK1	26.008	27.466	justMonocyte	19.971	55.3594	55.163
CD_deLange_2017	ZBTB38	42.3834	4.63205	justMonocyte	152.134	12.5726	48.633
RA_Ishigaki_2021_EUR	FRYL	20.9303	12.0896	justMonocyte	78.302	27.3562	113.713
UC_deLange_2017	CXCL5	0.00160858	1.46261	justMonocyte	0.0198322	0.257954	929.888
PBC_Cordell_2021	MANBA	14.8043	51.8473	justMonocyte	32.768	83.3908	62.2462
CD_deLange_2017	IL6ST	25.6863	103.36	justMonocyte	87.8952	129.924	103.633
CD_deLange_2017	LNPEP	49.7453	27.1746	justMonocyte	164.32	15.1024	20.7667
IBD_deLange_2017	P4HA2	9.36729	1.133	justMonocyte	14.7468	8.35978	22.8463
IBD_deLange_2017	PDLIM4	4.12198	0.6134	justMonocyte	2.75197	0.0725902	1.63331
MS_Patsopoulos_2019	TAGAP	4.49276	236.223	justMonocyte	4.3321	58.2784	1.56336
