tss_window	num_peaks	Total	peak_set
10kb	5210	85274	OnlyATAC
25kb	10178	85274	OnlyATAC
50kb	16411	85274	OnlyATAC
100kb	25276	85274	OnlyATAC
250kb	40713	85274	OnlyATAC
500kb	54708	85274	OnlyATAC
10kb	17851	78739	H3K27ac
25kb	28217	78739	H3K27ac
50kb	39832	78739	H3K27ac
100kb	52797	78739	H3K27ac
250kb	67098	78739	H3K27ac
500kb	73211	78739	H3K27ac
10kb	25554	119700	H3K4me1
25kb	40328	119700	H3K4me1
50kb	56933	119700	H3K4me1
100kb	76448	119700	H3K4me1
250kb	99475	119700	H3K4me1
500kb	109940	119700	H3K4me1
10kb	12808	29188	H3K4me3
25kb	15993	29188	H3K4me3
50kb	19302	29188	H3K4me3
100kb	22680	29188	H3K4me3
250kb	26235	29188	H3K4me3
500kb	27622	29188	H3K4me3
