gene	peak	max_abs_Z_RNA	max_abs_Z_ATAC	PPA_3	h2cis_RNA	h2cis_se_RNA	h2cis_p_RNA	h2cis_ATAC	h2cis_se_ATAC	h2cis_p_ATAC	oe_lof_upper	loeuf_quintile	peak_pos	gene_pos	peak_distance	peak_distance_quintile	start_atac	end_atac
RNF223	ATAC_chr1_904434_904887	3.63669	4.55765	0.995829	0.04682	0.03069	0.05615	0.12437	0.09337	0.1195	1.867	5	904660	1074305	169645	5	904434	904887
B3GALT6	ATAC_chr1_1208970_1209325	5.19412	4.26745	0.998992	0.05752	0.02524	0.00494	0.10323	0.08304	0.1409	1.425	5	1209147	1232236	23089	2	1208970	1209325
ANKRD65	ATAC_chr1_1419954_1420384	6.15818	5.01207	0.999582	0.09788	0.0324	0	0.18673	0.09394	0.01806	1.961	5	1420169	1421768	1599	1	1419954	1420384
CCNL2	ATAC_chr1_1433288_1434795	4.22365	4.26468	0.996878	0.03245	0.02141	0.05986	0.13225	0.08953	0.1019	0.47	2	1434041	1399334	34707	3	1433288	1434795
TMEM52	ATAC_chr1_1847693_1848321	4.79672	8.2052	0.998283	0.07146	0.02758	0.00063	0.39519	0.08355	0	1.614	5	1848007	1919278	71271	4	1847693	1848321
TMEM52	ATAC_chr1_1890775_1892724	4.79672	10.5322	0.997423	0.07146	0.02758	0.00063	0.53248	0.08102	0	1.614	5	1891749	1919278	27529	3	1890775	1892724
TMEM52	ATAC_chr1_1944092_1944359	4.76915	4.17211	0.99793	0.07146	0.02758	0.00063	0.12855	0.0745	0.04542	1.614	5	1944225	1919278	24947	3	1944092	1944359
GNB1	ATAC_chr1_1857183_1857594	6.77314	10.9334	0.999362	0.10683	0.0345	3.00E-05	0.62771	0.0815	0	0.145	1	1857388	1892291	34903	3	1857183	1857594
CTNNBIP1	ATAC_chr1_9942318_9943979	5.67894	7.33628	0.998953	0.10352	0.0363	0.0001	0.43454	0.085	0	1.383	5	9943148	9910335	32813	3	9942318	9943979
LZIC	ATAC_chr1_9942318_9943979	29.8543	7.33628	0.999804	0.60292	0.04459	0	0.43454	0.085	0	1.14	4	9943148	9943406	258	1	9942318	9943979
FBXO44	ATAC_chr1_11654217_11654932	5.25282	7.0082	0.999978	0.10604	0.03836	0.00053	0.18006	0.12153	0.1052	1.139	4	11654574	11654374	200	1	11654217	11654932
