Peak	Gene	chrom_atac	start_atac	end_atac	chrom_rna	start_rna	end_rna	strand	Gene_type	Gene_id	distance
ATAC_chr9_136372421_136374081	CARD9	chr9	136372421	136374081	chr9	136373668	136373669	-	protein_coding	ENSG00000187796.16	412
ATAC_chr22_30078766_30079303	HORMAD2-AS1	chr22	30078766	30079303	chr22	30080229	30080230	-	lncRNA	ENSG00000227117.6	927
ATAC_chr20_46120357_46121013	CD40	chr20	46120357	46121013	chr20	46118313	46118314	+	protein_coding	ENSG00000101017.15	2044
ATAC_chr2_233247701_233248180	ATG16L1	chr2	233247701	233248180	chr2	233251672	233251673	+	protein_coding	ENSG00000085978.22	3493
ATAC_chr16_10866552_10872027	CIITA	chr16	10866552	10872027	chr16	10877201	10877202	+	protein_coding	ENSG00000179583.21	5175
ATAC_chr4_101804302_101804606	BANK1	chr4	101804302	101804606	chr4	101790729	101790730	+	protein_coding	ENSG00000153064.12	13573
ATAC_chr22_39264339_39265007	PDGFB	chr22	39264339	39265007	chr22	39244981	39244982	-	protein_coding	ENSG00000100311.17	19358
ATAC_chr22_21755912_21756531	YPEL1	chr22	21755912	21756531	chr22	21735793	21735794	-	protein_coding	ENSG00000100027.17	20119
ATAC_chr1_160863805_160864637	ITLN1	chr1	160863805	160864637	chr1	160885179	160885180	-	protein_coding	ENSG00000179914.5	20543
ATAC_chr10_35184398_35186239	ENSG00000269952	chr10	35184398	35186239	chr10	35210415	35210416	+	lncRNA	ENSG00000269952.1	24177
ATAC_chr19_49388004_49388562	TEAD2	chr19	49388004	49388562	chr19	49362415	49362416	-	protein_coding	ENSG00000074219.14	25589
ATAC_chr22_29798158_29798801	UQCR10	chr22	29798158	29798801	chr22	29767368	29767369	+	protein_coding	ENSG00000184076.13	30790
ATAC_chr15_78938442_78940267	ENSG00000177699	chr15	78938442	78940267	chr15	78978888	78978889	+	lncRNA	ENSG00000177699.4	38622
ATAC_chr11_66001607_66003382	SART1	chr11	66001607	66003382	chr11	65961733	65961734	+	protein_coding	ENSG00000175467.15	39874
ATAC_chr16_11307865_11309419	ENSG00000262703	chr16	11307865	11309419	chr16	11349320	11349321	-	lncRNA	ENSG00000262703.1	39902
