Peak	Gene	chrom_atac	start_atac	end_atac	chrom_rna	start_rna	end_rna	strand	Gene_type	Gene_id	distance
ATAC_chr19_49388004_49388562	ENSG00000268686	chr19	49388004	49388562	chr19	49388084	49388085	-	lncRNA	ENSG00000268686.2	80
ATAC_chr1_157700559_157701057	FCRL3	chr1	157700559	157701057	chr1	157700768	157700769	-	protein_coding	ENSG00000160856.21	209
ATAC_chr19_49388004_49388562	KASH5	chr19	49388004	49388562	chr19	49388248	49388249	+	protein_coding	ENSG00000161609.10	244
ATAC_chr11_66001607_66003382	EIF1AD	chr11	66001607	66003382	chr11	66002156	66002157	-	protein_coding	ENSG00000175376.9	549
ATAC_chr5_142108213_142110501	NDFIP1	chr5	142108213	142110501	chr5	142108778	142108779	+	protein_coding	ENSG00000131507.11	565
ATAC_chr1_160739859_160745504	SLAMF7	chr1	160739859	160745504	chr1	160739246	160739247	+	protein_coding	ENSG00000026751.17	613
ATAC_chr8_48516835_48518892	LINC02947	chr8	48516835	48518892	chr8	48518156	48518157	-	lncRNA	ENSG00000253140.2	735
ATAC_chr6_135496959_135499750	AHI1	chr6	135496959	135499750	chr6	135497739	135497740	-	protein_coding	ENSG00000135541.22	780
ATAC_chr11_66001607_66003382	BANF1	chr11	66001607	66003382	chr11	66002502	66002503	+	protein_coding	ENSG00000175334.8	879
ATAC_chr6_135496959_135499750	AHI1-DT	chr6	135496959	135499750	chr6	135497853	135497854	+	lncRNA	ENSG00000231028.11	894
ATAC_chr3_53044401_53047237	SFMBT1	chr3	53044401	53047237	chr3	53046072	53046073	-	protein_coding	ENSG00000163935.14	1164
ATAC_chr8_78664698_78667310	ZC2HC1A	chr8	78664698	78667310	chr8	78666088	78666089	+	protein_coding	ENSG00000104427.13	1221
ATAC_chr2_230226987_230227880	SP140	chr2	230226987	230227880	chr2	230225735	230225736	+	protein_coding	ENSG00000079263.19	1252
ATAC_chr16_85983281_85986388	ENSG00000269667	chr16	85983281	85986388	chr16	85981749	85981750	+	lncRNA	ENSG00000269667.2	1532
ATAC_chr1_7993630_7994674	ENSG00000284747	chr1	7993630	7994674	chr1	7991133	7991134	+	lncRNA	ENSG00000284747.1	2497
ATAC_chr17_39915643_39915912	GSDMB	chr17	39915643	39915912	chr17	39918634	39918635	-	protein_coding	ENSG00000073605.19	2723
ATAC_chr15_78938442_78940267	CTSH	chr15	78938442	78940267	chr15	78945045	78945046	-	protein_coding	ENSG00000103811.18	4779
ATAC_chr19_46618682_46619179	PTGIR	chr19	46618682	46619179	chr19	46625088	46625089	-	protein_coding	ENSG00000160013.9	5910
ATAC_chr2_101998677_101999764	IL1R2	chr2	101998677	101999764	chr2	101991959	101991960	+	protein_coding	ENSG00000115590.14	6718
